SHOW,STAR,,,,,,,,
HOLLYWOOD’S OPEN HOUSE,Henny Youngman,,,,,,,,
THE HARDY FAMILY,Mickey Rooney,Lewis Stone,Fay Holden,,,,,,
HELEN HAYES THEATER,Helen Hayes,,,,,,,,
HIS AND HERS,Jim Bacus,Virginia Fields,,,,,,,
HILDEGARDE,Hildegarde,Hildegarde and the Lynn Murray Chorus,,,,,,,
HOLLYWOOD SPOTLIGHT,Phil Harris, Bob Burns,Larry Burke,Leah Ray,,,,,
THE HAPPINESS BOYS,Billy Jones,Ernie Hare,,,,,,,
A HALF HOUR TO KILL,William Conrad,,,,,,,,
HARMONY HOMESTEAD,Texanne Nation, Merle Travis,Andy Holcomb,Jack Rogers,Tex Saunders,,,,
HOLIDAY WILDE,Gloria Blondell,,,,,,,,
HOLLYWOOD MARDI GRAS,Lanny Ross,,,,,,,,
HOMICIDE O’KANE,John Heston,Richard Le Grand,,,,,,,
THE HONORABLE ARCHIE,Reginald Sharland,Martha Wentworth,Sylvia Jones,Mitzie Lamar,Cliff Arquette,,,,
THE HOUSE OF GLASS,Gertrude Berg,Joseph Buloff,Arnold Stang,,,,,,
HOWARD AND SHELTON,Tom Howard,George Sherton,,,,,,,
HARMONY HALL,Jerry Colonna,Marian Morgan,The Four Vagabonds,,,,,,
HERE COMES MCBRIDE,Frank Lovejoy,,,,,,,,
HARRY BABBITT SHOW,Harry Babbitt,,,,,,,,
HAP HAZARD,Edna O'Dell,,,,,,,,
HOLLYWOOD IMPRESSIONS,Lou Tobin,,,,,,,,
THE HOOFERS,Alice Smith,,,,,,,,
HOME EDITION,Robert Gardner,,,,,,,,
I WAS A COMMUNIST FOR THE FBI,Dana Andrews,,,,,,,,
I LOVE ADVENTURE,Michael Raffetto,Barton Yarborough,Tom Collins,Gloria Blondell,,,,,
I LOVE A MYSTERY,Michael Raffetto, Barton Yarborough,Gloria Blondell,,,,,,
INSPECTOR THORNE,Staats Cotsworth,,,,,,,,
IT’S HIGGINS SIR,Harry McNaughton,Vinton Hayworth,Peggy Allenby,,,,,,
I DEAL IN CRIME,William Gargan,,,,,,,,
IMPERIAL LEADER,Douglas Kelly,,,,,,,,
I WANT A DIVORCE,Joan Blondell,,,,,,,,
I COVER THE WATERFRONT,Larry Thor,,,,,,,,
IT’S ALWAYS SUNDAY,John Stevenson,Coleen Collins,Nancy McCullom,,,,,,
I FLY ANYTHING,Dick Haymes,Georgia Ellis,George Fenniman,,,,,,
IT HAPPENED IN HOLLYWOOD,John Conte,Martha Mears,,,,,,,
I COVER HOLLYWOOD,Michael O'Shea,Georgia Ellis,,,,,,,
IT’S CHESTERFIELD TIME,Alice Faye,Hal Kemp Orchestra,,,,,,,
IT’S US AGAIN,Mark Harris,Zelda Rihards,Dorothy Francis,Sandra Lawrence,,,,,
ISLAND VENTURE,Jerry Walter, Clare Boreum,Norman Gottschalk,Jonathan Hale,,,,,
JEFF REGAN INVESTIGATOR,Frank Graham,Frank Nelson,Jack Webb,Wilms Herbert,Paul Dubov,,,,
THE JIMMY DURANTE SHOW,Jimmy Durante,Ruth Etting,,,,,,,
BILLY ROSE’S JUMBO,Donald Novis,Gloria Grafton,Charles Henderson's Singing Razorbacks,,,,,,
JACK ARMSTRONG THE ALL AMERICAN BOY,Charles Flynn,Jim Goss,,,,,,,
THE JUDY CANOVA SHOW,Judy Canova,Johnny Desmond,Jeff Chandler,Paul Nero,Tommy Dorsey,Jimmy Dorsey,Perry Botkin,The Mello-Men,Rudy Wissler
THE JOE PENNER SHOW,Joe Penner,,,,,,,,
THE JACK PAAR SHOW,Jack Paar,,,,,,,,
THE JACK HALEY SHOW,Jack Haley,,,,,,,,
THE JAMES MELTON SHOW,James Melton,Ed Wynn,,,,,,,
JUST ENTERTAINMENT,Pat Butrum,Marian Morgan,,,,,,,
JUST FOR YOU,Buddy Clark,Bob Eberle,,,,,,,
THE JOHN CHARLES THOMAS SHOW,John Charles Thomas,,,,,,,,
THE JACK KIRKWOOD SHOW,Jack Kirkwood,Frank Nelson,Ruth Perrott,Lillian Lee,Gene La Valle,Billy Gray,Mel Blanc,,
JUMP JUMP AND THE ICE QUEEN,Mary McConnell,Harry Hickox,Johnny McGovern,,,,,,
THE ADVENTURES OF JOHNNY LUJACK,Johnny Lujack,,,,,,,,
THE JACK BERCH SHOW,Eddie Dunn,Tony Motolla,,,,,,,
JASON AND THE GOLDEN FLEECE,MacDonald Carey,,,,,,,,
THE JOAN DAVIS SHOW,Joan Davis,,,,,,,,
JACK FINA ORCHESTRA,Jack Fina,,,,,,,,
JUNIOR MISS,Gale Gordon,Barbara Whiting,,,,,,,
THE JOE MCDOAKS SHOW,George O'Hanlon,Marcie McGuire,Clifton Young,,,,,,
JACK SMITH SHOW,Jack Smith,,,,,,,,
JACK OAKIE’S COLLEGE,Jack Oakie,,,,,,,,
JOLLY BILL AND JANE,Bill Steinke,Pat Pritchard,,,,,,,
JUST OUTSIDE HOLLYWOOD,Hanley Stafford,Charlie Cantor,Frank Nelson,John Brown,,,,,
JIMMY BLADE AND HIS MUSIC,Jimmy Blade,Richard Page,,,,,,,
THE ADVENTURES OF JANE ARDEN,Ruth Yorke,Maurice Franklin,Henry Wadsworth,Bill Baar,Frank Provo,Helene Dumas,,,
THE JUDGE,John Dehner,Larry Dobkin,,,,,,,
JIMMY CARROLL SINGS,Jimmy Carroll,Ted Dale Orchestra,Squibb Chorus,,,,,,
TEXACO STAR THEATER SUMMER SHOW,Jane Forman,Bob Hannon,,,,,,,
KNICKERBOCKER PLAYHOUSE,Elliot Lewis,Ann Seymore,,,,,,,
KRAFT MUSIC HALL,Al Jolson,,,,,,,,
KAY KYSER’S KOLLEGE OF MUSICAL KNOWLEDGE,Kay Kysar,Harry Babbitt,Merwyn Bogue,,,,,,
KALTENMEYER’S KINDERGARTEN,Bruce Kamman,Johnny Wolf,Thor Ericson,Marian Jordon,Jim Jordan,Merrill Fugit,Sidney Ellstrom,Cecil Roy,Billy White
THE KENNY BAKER SHOW,Kenny Baker,,,,,,,,
KING OF THE ROYAL MOUNTED,Richard Dix,,,,,,,,
KISS AND MAKE UP COURT OF PETTY GRIEVANCES,Milton Berle,,,,,,,,
THE KID ON THE CORNER,Sheldon Leonard,Walter Tetley,,,,,,,
LES MISERABLES,Orson Welles,Martin Gabel,Estelle Levy,Virginia Welles,,,,,
THE LIVES OF HARRY LIME,Orson Welles,,,,,,,,
LUKE SLAUGHTER OF TOMBSTONE,Sam Buffington,,,,,,,,
LET GEORGE DO IT,Olan Soule,Virginia Gregg,Bob Bailey,Eddie Firestone jr,Francis Robinson,Joe Kearn,,,
THE LONE RANGER,Earle Graser,John Todd,,,,,,,
THE LIFE OF RILEY,William Bendix,,,,,,,,
LIFE WITH LUIGI,J. Carrol Naish,Alan Reed,Jody Gilbert,Gil Stratton,Mary Shipp,Hans Conried,Joe Forte,Ken Peters,
LET’S GO TO SLAPSIE’S,Maxie Rosenbloom,Jane Withers,,,,,,,
LINEUP,Bill Johnstone,Jack Moyles,,,,,,,
THE LES PAUL SHOW,Les Paul Trio,,,,,,,,
LETTERS FROM ABROAD,Tom Teriss,,,,,,,,
A LIFE IN YOUR HANDS,Carleton Kadell,,,,,,,,
THE LIGHT OF THE WORLD,Bret Morrison,,,,,,,,
THE LAUREL AND HARDY SHOW,Stan Laurel,Oliver Hardy,,,,,,,
LEAVE IT TO JOAN,Joan Davis,,,,,,,,
LET YOURSELF GO,Joe Bessor,Martha Tilton,,,,,,,
THE LITTLE SHOW,Del Courtney Orchestra,,,,,,,,
LONE JOURNEY,Les Damon,Eloise Kummer,,,,,,,
LONE WOLF,Gerald Mohr,Jay Novello,,,,,,,
LORA LAWTON,Jan Minor,,,,,,,,
LAUGH WITH KEN MURRAY,Phil Regan,Eve Arden,,,,,,,
LISTEN TO A LOVE SONG,Tony Martin,Georgia Gibbs,,,,,,,
LUNCHEON WITH LOPEZ,Vincent Lopez and his Orchestra,,,,,,,,
LOG CABIN INN,Lanny Ross,Pauline Alpert,,,,,,,
LIGHT CRUST DOUGHBOYS,Marvin 'Smokey' Montgomery,,,,,,,,
THE LEE SIMMS SHOW,Lee Simms,,,,,,,,
