Source,Target,Type,Label
Margaret Mccrea,Pat Padgett,Undirected,DR PEPPER PARADE
Margaret Mccrea,Pick Malone,Undirected,DR PEPPER PARADE
Pat Padgett,Pick Malone,Undirected,DR PEPPER PARADE
Carl Weber,Fred Collins,Undirected,DR. SIXGUN
Carl Weber,William Griffis,Undirected,DR. SIXGUN
Fred Collins,William Griffis,Undirected,DR. SIXGUN
Ed Wynn,Minerva Pios,Undirected,ED WYNN SHOW
Ed Wynn,Paul Douglas,Undirected,ED WYNN SHOW
Minerva Pios,Paul Douglas,Undirected,ED WYNN SHOW
Della Louise Orton,Garnett Marks,Undirected,EDITH ADAMS' FUTURE
Charlie Lung,Ralph Langly,Undirected,EL LOBO RIDES AGAIN
Paul Frees,Roy Rowan,Undirected,ESCAPE
Paul Frees,William Conrad,Undirected,ESCAPE
Roy Rowan,William Conrad,Undirected,ESCAPE
Frank Martin,Ronald Colman,Undirected,EVERYTHING FOR THE BOYS
Jack Mcelroy,Perry Ward,Undirected,EXPECTANT FATHER
Martha Wright,Mel Allen,Undirected,EYES WRIGHT
Martha Wright,The Page Cavanaugh Trio,Undirected,EYES WRIGHT
Mel Allen,The Page Cavanaugh Trio,Undirected,EYES WRIGHT
Martha Wentworth,William Farnum,Undirected,FAMOUS ROMANCES
Bill Forman,Eleanor Audley,Undirected,FATHER KNOWS BEST
Bill Forman,Helen Strong,Undirected,FATHER KNOWS BEST
Bill Forman,Herb Vigran,Undirected,FATHER KNOWS BEST
Bill Forman,Jean Vander Pyl,Undirected,FATHER KNOWS BEST
Bill Forman,Rhoda Williams,Undirected,FATHER KNOWS BEST
Bill Forman,Robert Young,Undirected,FATHER KNOWS BEST
Bill Forman,Sam Edwards,Undirected,FATHER KNOWS BEST
Bill Forman,Ted Donaldson,Undirected,FATHER KNOWS BEST
Eleanor Audley,Helen Strong,Undirected,FATHER KNOWS BEST
Eleanor Audley,Herb Vigran,Undirected,FATHER KNOWS BEST
Eleanor Audley,Jean Vander Pyl,Undirected,FATHER KNOWS BEST
Eleanor Audley,Rhoda Williams,Undirected,FATHER KNOWS BEST
Eleanor Audley,Robert Young,Undirected,FATHER KNOWS BEST
Eleanor Audley,Sam Edwards,Undirected,FATHER KNOWS BEST
Eleanor Audley,Ted Donaldson,Undirected,FATHER KNOWS BEST
Helen Strong,Herb Vigran,Undirected,FATHER KNOWS BEST
Helen Strong,Jean Vander Pyl,Undirected,FATHER KNOWS BEST
Helen Strong,Rhoda Williams,Undirected,FATHER KNOWS BEST
Helen Strong,Robert Young,Undirected,FATHER KNOWS BEST
Helen Strong,Sam Edwards,Undirected,FATHER KNOWS BEST
Helen Strong,Ted Donaldson,Undirected,FATHER KNOWS BEST
Herb Vigran,Jean Vander Pyl,Undirected,FATHER KNOWS BEST
Herb Vigran,Rhoda Williams,Undirected,FATHER KNOWS BEST
Herb Vigran,Robert Young,Undirected,FATHER KNOWS BEST
Herb Vigran,Sam Edwards,Undirected,FATHER KNOWS BEST
Herb Vigran,Ted Donaldson,Undirected,FATHER KNOWS BEST
Jean Vander Pyl,Rhoda Williams,Undirected,FATHER KNOWS BEST
Jean Vander Pyl,Robert Young,Undirected,FATHER KNOWS BEST
Jean Vander Pyl,Sam Edwards,Undirected,FATHER KNOWS BEST
Jean Vander Pyl,Ted Donaldson,Undirected,FATHER KNOWS BEST
