SHOW,SHOW STAR
THE GUY LOMBARDO SHOW,Guy Lombardo and His Royal Canadians
THE GENERAL,Roy Shields and his Orchestra
GAY NINETIES REVIEW,Beatrice Kay
THE GENTLEMAN ADVENTURER,James Mehan
THE GOOD GULF PROGRAM,Will Rogers
THE GOOD GULF PROGRAM,Al Goodman
THE GOOD GULF PROGRAM,The Revelers
THE GEORGE BYRON SHOW,George Byron
GASOLINE ALLEY,Bill Lipton
GASOLINE ALLEY,Mason Adams
GRAND HOTEL,Barbara Luddy
GRAND HOTEL,Olan Soule
GULFSPRAY PRESENTS,Jerry Wayne
GULFSPRAY PRESENTS,Peg La Centra
HAVE GUN WILL TRAVEL,John Dehner
HOPALONG CASSIDY,William Boyd
HOPALONG CASSIDY,Andy Clyde
THE ADVENTURES OF HORATIO HORNBLOWER,Michael Redgrave
THE HARVEST OF STARS,James Melton
THE HALLS OF IVY,Ronald Colman
THE HALLS OF IVY,Benita Hume
THE HENRY MORGAN SHOW,Henry Morgan
HERCULE POIROT,Harold Huber
HOLLYWOODâ€_Ã„Ã´S OPEN HOUSE,Henny Youngman
THE HARDY FAMILY,Mickey Rooney
THE HARDY FAMILY,Lewis Stone
THE HARDY FAMILY,Fay Holden
HELEN HAYES THEATER,Helen Hayes
HIS AND HERS,Jim Bacus
HIS AND HERS,Virginia Fields
HILDEGARDE,Hildegarde
HILDEGARDE,Hildegarde and the Lynn Murray Chorus
HOLLYWOOD SPOTLIGHT,Phil Harris
HOLLYWOOD SPOTLIGHT, Bob Burns
HOLLYWOOD SPOTLIGHT,Larry Burke
HOLLYWOOD SPOTLIGHT,Leah Ray
THE HAPPINESS BOYS,Billy Jones
THE HAPPINESS BOYS,Ernie Hare
A HALF HOUR TO KILL,William Conrad
HARMONY HOMESTEAD,Texanne Nation
HARMONY HOMESTEAD, Merle Travis
HARMONY HOMESTEAD,Andy Holcomb
HARMONY HOMESTEAD,Jack Rogers
HARMONY HOMESTEAD,Tex Saunders
